Issuer Name,Ticker,Series,Cpn,Maturity,Maturity Type,90D Volatility,Yld to Mty (Mid),Rev Growth,Amount Issued,Amt Out,CDS Recovery Rate,CDS Spread (5yr Mid),Earnings Assets / Interest Bearing Liabililties,S&P Init Rtg Dt,S&P Init Rtg,S&P Outlook,S&P Rating
Wells Fargo Bank NA,WFC,BKNT,2.4,1/15/2020,AT MATURITY,0.804384172,3.067530706,3.785465511,1750000000,1750000000,0.4,47.0664,136.2449198,1/17/2018,AA-,STABLE,A+
Morgan Stanley,MS,#N/A Field Not Applicable,2.5,1/24/2019,AT MATURITY,1.009397268,2.513341937,15.00171283,2000000000,2000000000,0.4,52.6796,114.2785657,1/21/2014,A-,STABLE,BBB+
Bank of America Corp,BAC,#N/A Field Not Applicable,7.625,6/1/2019,AT MATURITY,1.037991166,2.725725572,7.04874976,2864160000,1262700000,0.400000006,47.6919,131.712137,8/4/2009,A,STABLE,A-
Citigroup Inc,C,#N/A Field Not Applicable,2.45,1/10/2020,CALLABLE,0.718516707,3.080378773,6.772995412,1500000000,1500000000,0.4,49.6902,108.7645895,1/5/2017,BBB+,STABLE,BBB+
Citigroup Inc,C,#N/A Field Not Applicable,8.5,5/22/2019,AT MATURITY,1.180802941,2.847231083,6.772995412,3000000000,1215030000,0.4,49.6902,108.7645895,7/13/2009,A,STABLE,BBB+
Barclays PLC,BACR,#N/A Field Not Applicable,2.75,11/8/2019,AT MATURITY,0.883103788,3.291657479,-1.680302308,2000000000,2000000000,0.4,#N/A N/A,142.6946097,11/12/2014,A-,STABLE,BBB
Citigroup Inc,C,#N/A Field Not Applicable,2.5,9/26/2018,AT MATURITY,0.72571373,2.20119364,6.772995412,1750000000,1750000000,0.4,49.6902,108.7645895,9/23/2013,A-,STABLE,BBB+
Citigroup Inc,C,#N/A Field Not Applicable,3.12144,1/10/2020,CALLABLE,0.668903053,2.686288037,6.772995412,1000000000,1000000000,0.4,49.6902,108.7645895,1/5/2017,BBB+,STABLE,BBB+
PNC Bank NA,PNC,BKNT,2.25,7/2/2019,CALLABLE,0.734574974,2.673049476,9.815502649,1000000000,1000000000,0.4,#N/A N/A,124.6877472,6/18/2014,A,STABLE,A
Bank of America NA,BAC,BKNT,2.05,12/7/2018,AT MATURITY,1.370966434,2.320610862,7.04874976,1250000000,1250000000,0.400000006,47.6919,131.712137,12/4/2015,A *+,STABLE,A+
JPMorgan Chase & Co,JPM,#N/A Field Not Applicable,1.85,3/22/2019,CALLABLE,2.008304834,2.577078233,7.975465939,1100000000,1100000000,0.4,40.0821,134.8625608,3/22/2016,A-,STABLE,A-
Mediobanca Banca di Credito Finanziario SpA,BACRED,EMTN,2.25,3/18/2019,AT MATURITY,0.782549024,0.262753236,-24.41799185,1044142500,1044142500,0.4,154.9286,95.38930845,3/12/2014,BBB,STABLE,BBB
Wells Fargo Bank NA,WFC,BKNT,2.15,12/6/2019,AT MATURITY,0.860003591,3.002033171,3.785465511,2500000000,2500000000,0.4,47.0664,136.2449198,12/5/2016,AA-,STABLE,A+
Westpac Banking Corp,WSTP,#N/A Field Not Applicable,4.875,11/19/2019,AT MATURITY,0.539313972,3.000648217,-0.340163172,2000000000,2000000000,0.4,#N/A N/A,111.7792018,11/18/2009,AA,NEG,AA-
BNP Paribas SA,BNP,MTN,2.4,12/12/2018,AT MATURITY,0.864323974,2.341385283,0.677117288,1500000000,1500000000,0.4,41.4199,165.3775959,12/6/2013,A+,POS,A
Intesa Sanpaolo SpA,ISPIM,EMTN,4.375,10/15/2019,AT MATURITY,1.286704898,0.522701816,25.43491837,1617000000,1617000000,0.4,144.5251,247.6859916,10/9/2012,BBB+,STABLE,BBB
State Bank of India/London,SBIIN,REGS,3.622,4/17/2019,AT MATURITY,1.027341962,3.432870938,0.482195293,750000000,750000000,0.4,#N/A N/A,112.7080404,4/10/2014,BBB-,#N/A N/A,BBB-
Australia & New Zealand Banking Group Ltd/New York NY,ANZ,MTN,2.25,6/13/2019,AT MATURITY,0.361138642,2.740306101,0.113869911,1250000000,1250000000,0.4,#N/A N/A,111.0764231,6/12/2014,AA-,#N/A N/A,AA-
Capital One Financial Corp,COF,#N/A Field Not Applicable,2.45,4/24/2019,CALLABLE,0.846884787,2.686910631,9.011955376,750000000,750000000,0.4,54.9687,109.2090676,4/22/2014,BBB,STABLE,BBB
JPMorgan Chase & Co,JPM,#N/A Field Not Applicable,2.35,1/28/2019,AT MATURITY,0.902933419,2.451201044,7.975465939,1500000000,1500000000,0.4,40.0821,134.8625608,1/21/2014,A,STABLE,A-
Industrial & Commercial Bank of China Ltd/New York NY,ICBCAS,MTN,3.231,11/13/2019,AT MATURITY,0.94628793,3.498573321,5.463711754,1000000000,1000000000,0.4,#N/A N/A,169.4873458,11/12/2014,A,#N/A N/A,A
Toronto-Dominion Bank/The,TD,MTN,2.625,9/10/2018,AT MATURITY,0.545015454,2.317995685,10.21195546,1600000000,1600000000,0.4,#N/A N/A,529.8579664,9/6/2013,AA-,STABLE,AA-
Credit Suisse Group Finance Guernsey Ltd,CS,#N/A Field Not Applicable,5,7/29/2019,AT MATURITY,1.899389148,0.412861201,4.143415645,428920000,428920000,0.4,69.3132,80.87471377,7/26/1999,AA-,#N/A N/A,BBB+
Deutsche Bank AG,DB,#N/A Field Not Applicable,3.78263,1/18/2019,AT MATURITY,1.242948651,2.807486205,-4.903529627,500000000,500000000,0.4,135.4871,121.3998692,1/16/2017,BBB+ *,STABLE,BBB-
Toronto-Dominion Bank/The,TD,MTN,1.95,1/22/2019,AT MATURITY,0.840961814,2.284510341,10.21195546,1600000000,1600000000,0.4,#N/A N/A,529.8579664,1/18/2016,AA-,STABLE,AA-
Bank of America Corp,BAC,EMTN,0.179,7/26/2019,AT MATURITY,0.234098896,-0.241957495,7.04874976,1373500000,1373500000,0.400000006,47.6919,131.712137,7/22/2016,BBB+,STABLE,A-
JPMorgan Chase & Co,JPM,#N/A Field Not Applicable,3.30206,1/23/2020,AT MATURITY,0.614080548,2.536915884,7.975465939,1150000000,1150000000,0.4,40.0821,134.8625608,1/16/2015,A,STABLE,A-
Citibank NA,C,#N/A Field Not Applicable,1.85,9/18/2019,CALLABLE,0.849636078,2.847989315,6.772995412,1250000000,1250000000,0.4,#N/A N/A,108.7645895,9/20/2017,A+,STABLE,A+
ICICI Bank Ltd/Dubai,ICICI,REGS,4.8,5/22/2019,AT MATURITY,0.516368926,3.373130848,-1.628353359,1000000000,1000000000,0.4,#N/A N/A,138.583986,11/18/2013,BBB-,#N/A N/A,BBB-
Intesa Sanpaolo SpA,ISPIM,EMTN,0.729,4/17/2019,AT MATURITY,0.544221044,0.380083439,25.43491837,1381870000,1381870000,0.4,144.5251,247.6859916,4/11/2014,BBB,STABLE,BBB
Bank of China Ltd/Macau,BCHINA,EMTN,4.45,3/5/2019,AT MATURITY,0.20811002,3.850051478,3.15440742,236272500,236272500,0.4,#N/A N/A,157.8939882,2/26/2018,A,#N/A N/A,A
Westpac Banking Corp,WSTP,#N/A Field Not Applicable,2.25,1/17/2019,AT MATURITY,0.204216272,2.642793086,-0.340163172,1250000000,1250000000,0.4,#N/A N/A,111.7792018,1/13/2014,AA-,NEG,AA-
Intesa Sanpaolo SpA,ISPIM,EMTN,1.125,1/14/2020,AT MATURITY,1.438536644,0.60138349,25.43491837,1768140000,1768140000,0.4,144.5251,247.6859916,1/9/2015,BBB-,STABLE,BBB
Wells Fargo Bank NA,WFC,MTN,2.96381,12/6/2019,AT MATURITY,0.641581953,2.535988315,3.785465511,1000000000,1000000000,0.4,47.0664,136.2449198,12/5/2016,AA-,STABLE,A+
BNP Paribas SA,BNP,EMTN,0.079,1/15/2020,AT MATURITY,0.140516102,-0.286169132,0.677117288,870090000,870090000,0.4,41.4199,165.3775959,1/13/2015,A+,POS,A
Intesa Sanpaolo SpA,ISPIM,MTN,3.875,1/15/2019,AT MATURITY,1.30649066,3.779536462,25.43491837,1250000000,1250000000,0.4,144.5251,247.6859916,10/29/2013,BBB,STABLE,BBB
Morgan Stanley,MS,GMTN,5.5,1/26/2020,AT MATURITY,0.801910996,3.120205556,15.00171283,2000000000,1980000000,0.4,52.6796,114.2785657,1/26/2010,A,STABLE,BBB+
Macquarie Group Ltd,MQGAU,REGS,3,12/3/2018,AT MATURITY,0.21628651,2.750104397,-11.87771701,1050000000,1050000000,0.4,#N/A N/A,95.89282895,11/28/2013,BBB,STABLE,BBB
Unione di Banche Italiane SpA,UBIIM,EMTN,2.875,2/18/2019,AT MATURITY,0.654044807,0.312480018,11.02432777,1375390000,1375390000,0.400000006,#N/A N/A,257.5046356,2/17/2014,BBB-,STABLE,BBB-
Deutsche Bank AG,DB,#N/A Field Not Applicable,4.2625,5/10/2019,AT MATURITY,1.576654196,3.223237365,-4.903529627,500000000,500000000,0.4,135.4871,121.3998692,5/11/2016,BBB+,STABLE,BBB-
UniCredit SpA,UCGIM,EMTN,1.5,6/19/2019,AT MATURITY,0.762936354,0.210045879,-2.186447839,1362080000,1362080000,0.4,128.6053,190.482983,6/13/2014,BBB,STABLE,BBB
Nomura Holdings Inc,NOMURA,GMTN,2.75,3/19/2019,AT MATURITY,1.346079707,2.795600362,14.96004701,1000000000,1000000000,0.35,82.0507,97.36968767,3/13/2014,BBB+,NEG,A-
US Bancorp,USB,MTN,1.95,11/15/2018,CALLABLE,0.58186841,2.472673729,5.504748505,1000000000,1000000000,0.4,#N/A N/A,127.7404008,11/6/2013,A+,STABLE,A+
National Australia Bank Ltd/New York,NAB,#N/A Field Not Applicable,2.25,1/10/2020,AT MATURITY,0.538684726,3.125364513,-1.75497395,1000000000,1000000000,0.4,#N/A N/A,117.5859526,1/9/2017,AA-,#N/A N/A,AA-
Goldman Sachs Group Inc/The,GS,EMTN,0.38,4/29/2019,AT MATURITY,0.20401527,-0.155099695,12.04391175,1716030000,1716030000,0.4,54.6932,94.06989897,4/25/2016,BBB+,STABLE,BBB+
Goldman Sachs Group Inc/The,GS,#N/A Field Not Applicable,2,4/25/2019,CALLABLE,0.917697787,2.645646225,12.04391175,700000000,700000000,0.4,54.6932,94.06989897,4/21/2016,BBB+,STABLE,BBB+
Commonwealth Bank of Australia/New York NY,CBAAU,#N/A Field Not Applicable,2.5,9/20/2018,AT MATURITY,0.142369494,2.43143962,0.852541838,1000000000,1000000000,0.4,#N/A N/A,113.8396329,9/17/2013,AA-,#N/A N/A,AA-
National Australia Bank Ltd/New York,NAB,GMTN,2,1/14/2019,AT MATURITY,0.197070226,2.628409762,-1.75497395,1250000000,1250000000,0.4,#N/A N/A,117.5859526,1/19/2016,AA-,#N/A N/A,AA-
Standard Chartered PLC,STANLN,EMTN,1.625,11/20/2018,AT MATURITY,0.144212157,-0.224659313,7.065327653,1679812500,1679812500,0.4,#N/A N/A,221.4619372,11/18/2013,A+,STABLE,BBB+
International Lease Finance Corp,AER,#N/A Field Not Applicable,5.875,4/1/2019,AT MATURITY,0.757003367,2.909949344,-2.225059883,750000000,750000000,0.4,87.434,1.282359336,3/14/2012,BBB-,#N/A N/A,BBB-
Citigroup Inc,C,#N/A Field Not Applicable,3.23,8/7/2019,AT MATURITY,0.233668596,2.624077524,6.772995412,444120000,444120000,0.4,49.6902,108.7645895,7/29/2015,A-,STABLE,BBB+
Goldman Sachs Group Inc/The,GS,MTN,3.4425,11/15/2018,AT MATURITY,1.225474715,1.864932457,12.04391175,2459420000,2459420000,0.4,54.6932,94.06989897,11/15/2013,A-,STABLE,BBB+
Bankinter SA,BKTSM,EMTN,6.375,9/11/2019,AT MATURITY,0.7676965,0.018720081,9.472622203,364387500,364387500,0.2,#N/A N/A,219.7620365,9/14/2009,A-,STABLE,BBB-
BNP Paribas SA,BNP,MTN,2.45,3/17/2019,AT MATURITY,1.09406352,2.538954194,0.677117288,850000000,850000000,0.4,41.4199,165.3775959,3/11/2014,A+,POS,A
Wells Fargo Canada Corp,WFC,MTN,2.944,7/25/2019,AT MATURITY,0.410477161,2.450447001,3.785465511,1473963000,1473963000,0.4,47.0664,136.2449198,7/18/2012,A+,#N/A N/A,A-
PNC Bank NA,PNC,BKNT,1.7,12/7/2018,CALLABLE,0.762239158,2.457657283,9.815502649,600000000,600000000,0.4,#N/A N/A,124.6877472,12/7/2016,A,STABLE,A
Bank of America Corp,BAC,#N/A Field Not Applicable,6.875,11/15/2018,AT MATURITY,0.761994421,2.375072644,7.04874976,1100000000,1031000000,0.400000006,47.6919,131.712137,2/1/1999,AA-,STABLE,A-
Bank of China Ltd/Hong Kong,BCHINA,EMTN,3.06313,7/11/2019,AT MATURITY,0.296063244,2.963323501,3.15440742,550000000,550000000,0.4,#N/A N/A,157.8939882,7/2/2017,A,#N/A N/A,A
US Bank NA/Cincinnati OH,USB,BKNT,2.125,10/28/2019,CALLABLE,0.802720129,2.906018994,5.504748505,1650000000,1650000000,0.4,#N/A N/A,127.7404008,10/23/2014,AA-,STABLE,AA-
Citibank NA,C,BKNT,2,3/20/2019,CALLABLE,0.564014435,2.609523277,6.772995412,1500000000,1500000000,0.4,#N/A N/A,108.7645895,3/14/2017,A+,STABLE,A+
Morgan Stanley,MS,#N/A Field Not Applicable,3.47688,1/27/2020,AT MATURITY,0.588421345,2.670182232,15.00171283,500000000,500000000,0.4,52.6796,114.2785657,1/22/2015,A-,STABLE,BBB+
US Bank NA/Cincinnati OH,USB,BKNT,1.4,4/26/2019,CALLABLE,0.544433475,2.542653317,5.504748505,1250000000,1250000000,0.4,#N/A N/A,127.7404008,4/22/2016,AA-,STABLE,AA-
Morgan Stanley,MS,MTN,2.2,12/7/2018,AT MATURITY,1.099400759,2.364593269,15.00171283,500000000,500000000,0.4,52.6796,114.2785657,6/3/2015,A-,STABLE,BBB+
Svenska Handelsbanken AB,SHBASS,#N/A Field Not Applicable,2.5,1/25/2019,AT MATURITY,0.407891899,2.67445492,2.644889551,1500000000,1500000000,0.4,#N/A N/A,148.4241427,9/23/2013,AA- *-,STABLE,AA-
American Express Co,AXP,#N/A Field Not Applicable,8.125,5/20/2019,AT MATURITY,0.781915784,2.711479351,5.203559708,1750000000,641371000,0.4,32.0225,63.98319491,5/19/2009,BBB+,STABLE,BBB+
Banco Santander SA,SANTAN,EMTN,4,1/24/2020,AT MATURITY,0.484034836,-0.050552612,2.40844333,1708305342,1708305342,0.4,58.8103,129.7739331,1/17/2013,BBB,STABLE,A
Morgan Stanley,MS,#N/A Field Not Applicable,3.19156,1/24/2019,AT MATURITY,0.714360058,2.530265742,15.00171283,750000000,750000000,0.4,52.6796,114.2785657,1/21/2014,A-,STABLE,BBB+
Commonwealth Bank of Australia/New York NY,CBAAU,#N/A Field Not Applicable,2.3,9/6/2019,AT MATURITY,0.429984927,2.96458107,0.852541838,1250000000,1250000000,0.4,#N/A N/A,113.8396329,9/15/2014,AA-,#N/A N/A,AA-
National City Corp,PNC,#N/A Field Not Applicable,6.875,5/15/2019,AT MATURITY,0.823003054,2.759329824,9.815502649,700000000,700000000,0.4,#N/A N/A,124.6877472,5/3/1999,A-,#N/A N/A,BBB+
Citibank NA,C,*,2.59906,11/9/2018,AT MATURITY,0.432588398,2.455036203,6.772995412,2250000000,2250000000,0.4,#N/A N/A,108.7645895,6/2/2017,A+,STABLE,A+
Goldman Sachs Group Inc/The,GS,MTN,5,8/21/2019,AT MATURITY,0.299108744,2.713516128,12.04391175,627620000,627620000,0.4,54.6932,94.06989897,2/19/2014,A-,STABLE,BBB+
Bank of America Corp,BAC,#N/A Field Not Applicable,1.132,5/6/2019,CALLABLE,0.326723784,0.128235099,7.04874976,1208900000,1047710110,0.2,#N/A N/A,131.712137,4/27/2004,A,STABLE,BBB+
US Bank NA/Cincinnati OH,USB,BKNT,2.35,1/23/2020,CALLABLE,0.959577799,3.008954774,5.504748505,550000000,550000000,0.4,#N/A N/A,127.7404008,1/19/2018,AA-,STABLE,AA-
Westpac Banking Corp,WSTP,#N/A Field Not Applicable,1.6,8/19/2019,AT MATURITY,0.452290207,2.924294628,-0.340163172,1500000000,1500000000,0.4,#N/A N/A,111.7792018,8/15/2016,AA-,NEG,AA-
Goldman Sachs Group Inc/The,GS,EMTN,0.43,10/29/2019,AT MATURITY,0.193049684,-0.083563009,12.04391175,1973739000,1973739000,0.4,54.6932,94.06989897,10/22/2014,A-,STABLE,BBB+
Mediobanca Banca di Credito Finanziario SpA,BACRED,EMtn,4,9/30/2018,AT MATURITY,0.71434164,-0.304508984,-24.41799185,1698286400,1698286400,0.4,154.9286,95.38930845,8/28/2013,BBB,STABLE,BBB
Svenska Handelsbanken AB,SHBASS,BKNT,1.5,9/6/2019,AT MATURITY,0.636261821,2.98098412,2.644889551,1000000000,1000000000,0.4,#N/A N/A,148.4241427,9/2/2016,AA-,STABLE,AA-
Bank of America Corp,BAC,#N/A Field Not Applicable,3.37919,1/15/2019,AT MATURITY,0.804627895,2.411664112,7.04874976,900000000,900000000,0.400000006,47.6919,131.712137,10/18/2013,A-,STABLE,A-
Capital One Bank USA NA,COF,BKNT,2.3,6/5/2019,CALLABLE,1.484064817,2.840238629,9.011955376,750000000,750000000,0.4,23.8212,109.2090676,6/4/2014,BBB+,STABLE,BBB+
Wells Fargo Canada Corp,WFC,MTN,2.78,11/15/2018,AT MATURITY,0.146915823,1.981356916,3.785465511,956572000,956572000,0.4,47.0664,136.2449198,11/7/2013,A+,#N/A N/A,A-
Toronto-Dominion Bank/The,TD,BKNT,2.77738,7/2/2019,AT MATURITY,0.481348753,2.542802873,10.21195546,350000000,350000000,0.4,#N/A N/A,529.8579664,6/26/2014,AA-,STABLE,AA-
Standard Chartered PLC,STANLN,REGS,3.46125,8/19/2019,AT MATURITY,0.408548594,2.639812339,7.065327653,750000000,750000000,0.4,#N/A N/A,221.4619372,8/18/2016,BBB+,STABLE,BBB+
Capital One NA,COF,#N/A Field Not Applicable,2.35,1/31/2020,CALLABLE,0.831701815,3.159404858,9.011955376,1500000000,1500000000,0.4,54.9687,109.2090676,1/27/2017,BBB+,STABLE,BBB+
Westpac Banking Corp,WSTP,#N/A Field Not Applicable,1.65,5/13/2019,AT MATURITY,0.329751611,2.743870665,-0.340163172,750000000,750000000,0.4,#N/A N/A,111.7792018,5/12/2016,AA-,NEG,AA-
Westpac Banking Corp,WSTP,#N/A Field Not Applicable,1.95,11/23/2018,AT MATURITY,0.268106818,2.514296048,-0.340163172,1000000000,1000000000,0.4,#N/A N/A,111.7792018,11/20/2015,AA-,NEG,AA-
PNC Financial Services Group Inc/The,PNC,#N/A Field Not Applicable,6.7,6/10/2019,AT MATURITY,0.630095482,2.605660651,9.815502649,600000000,600000000,0.4,#N/A N/A,124.6877472,6/9/2009,A *-,STABLE,A-
Morgan Stanley,MS,GMTN,0.374,11/19/2019,AT MATURITY,0.199739516,-0.157847968,15.00171283,1568775000,1568775000,0.4,52.6796,114.2785657,11/12/2014,A-,STABLE,BBB+
Wells Fargo & Co,WFC,N,3.01888,1/30/2020,AT MATURITY,0.879779994,2.627532487,3.785465511,650000000,650000000,0.4,47.0664,136.2449198,1/27/2015,A+,STABLE,A-
JPMorgan Chase Bank NA,JPM,BKNT,1.65,9/23/2019,CALLABLE,0.893891573,2.853575677,7.975465939,1000000000,1000000000,0.4,40.0821,134.8625608,9/22/2016,A+,STABLE,A+
International Lease Finance Corp,AER,#N/A Field Not Applicable,6.25,5/15/2019,AT MATURITY,1.008358836,2.908438004,-2.225059883,1250000000,1250000000,0.4,87.434,1.282359336,5/19/2011,BBB-,#N/A N/A,BBB-
Intesa Sanpaolo SpA,ISPIM,EMTN,3,1/28/2019,AT MATURITY,0.536904335,0.161412001,25.43491837,1359590000,1359590000,0.4,144.5251,247.6859916,11/22/2013,BBB,STABLE,BBB
Capital One Bank USA NA,COF,BKNT,2.15,11/21/2018,CALLABLE,1.135278821,2.511986762,9.011955376,600000000,600000000,0.4,23.8212,109.2090676,11/18/2013,BBB+,STABLE,BBB+
PNC Bank NA,PNC,BKNT,2.2,1/28/2019,CALLABLE,0.583780766,2.590821962,9.815502649,750000000,750000000,0.4,#N/A N/A,124.6877472,1/27/2014,A,STABLE,A
Bank of America Corp,BAC,MTN,3.20738,4/1/2019,AT MATURITY,3.369226694,2.072202295,7.04874976,850000000,850000000,0.400000006,47.6919,131.712137,3/27/2014,A-,STABLE,A-
US Bancorp,USB,MTN,2.2,4/25/2019,CALLABLE,0.561609268,2.561847776,5.504748505,1250000000,1250000000,0.4,#N/A N/A,127.7404008,4/22/2014,A+,STABLE,A+
Citibank NA,C,_,2.66469,3/20/2019,AT MATURITY,0.392883778,2.484389928,6.772995412,1000000000,1000000000,0.4,#N/A N/A,108.7645895,3/14/2017,A+,STABLE,A+
Intesa Sanpaolo SpA,ISPIM,EMTN,2.25,1/22/2020,AT MATURITY,1.89439714,0.70492454,25.43491837,793586360,793586360,0.4,144.5251,247.6859916,2/13/2012,BBB+,STABLE,BBB
Goldman Sachs Group Inc/The,GS,EMTN,0.136,12/31/2018,AT MATURITY,0.073372997,-0.20076548,12.04391175,2406892500,2406892500,0.4,54.6932,94.06989897,3/24/2017,BBB+,STABLE,BBB+
Morgan Stanley,MS,GMTN,0.179,12/3/2019,CALLABLE,0.051081624,0.092935458,15.00171283,1334325000,1334325000,0.4,52.6796,114.2785657,11/29/2016,BBB+,STABLE,BBB+
JPMorgan Chase Bank NA,JPM,BKNT,2.78025,9/21/2018,CALLABLE,0.265643716,2.791009375,7.975465939,1000000000,1000000000,0.4,40.0821,134.8625608,9/22/2016,A+,STABLE,A+
Citigroup Inc,C,EMTN,5,8/2/2019,AT MATURITY,0.320596308,-0.12656689,6.772995412,3009625000,3009625000,0.4,49.6902,108.7645895,7/22/2004,AA-,STABLE,BBB+
Toronto-Dominion Bank/The,TD,MTN,2.75263,1/18/2019,AT MATURITY,0.600517511,2.394732282,10.21195546,1000000000,1000000000,0.4,#N/A N/A,529.8579664,1/19/2017,AA-,STABLE,AA-
Societe Generale SA,SOCGEN,#N/A Field Not Applicable,2.625,10/1/2018,AT MATURITY,0.533894062,2.398048419,-6.85524278,750000000,750000000,0.4,42.4156,137.085116,9/26/2013,A,STABLE,A
Commonwealth Bank of Australia,CBAAU,REGS,5,10/15/2019,AT MATURITY,0.474484354,3.051363143,0.852541838,1500000000,1500000000,0.4,#N/A N/A,113.8396329,10/29/2009,AA,NEG,AA-
Goldman Sachs Group Inc/The,GS,EMTN,0.329,9/11/2018,AT MATURITY,0.031153357,-0.293736377,12.04391175,1134470000,1134470000,0.4,54.6932,94.06989897,9/21/2015,A-,STABLE,BBB+
